ligand_id,is_known_active,enopt_score,enopt_rank
CHEMBL10434,0,0.7796511054039001,275
CHEMBL3309986,0,0.778819739818573,276
CHEMBL34161,0,0.7763335108757019,277
CHEMBL32147,0,0.7763335108757019,278
CHEMBL38773,0,0.7762057185173035,279
CHEMBL25246,0,0.7743062376976013,280
CHEMBL12657,0,0.7738654017448425,281
CHEMBL26941,0,0.7727677226066589,282
CHEMBL41722,0,0.7726857662200928,283
CHEMBL24673,0,0.7725706696510315,284
CHEMBL32939,0,0.769367516040802,285
CHEMBL32763,0,0.769367516040802,286
CHEMBL580660,0,0.769367516040802,287
CHEMBL7320,0,0.769367516040802,288
CHEMBL4543513,0,0.769367516040802,289
CHEMBL10927,0,0.769367516040802,290
CHEMBL19457,0,0.769367516040802,291
CHEMBL13168,0,0.769367516040802,292
CHEMBL3311181,0,0.769367516040802,293
CHEMBL3310916,0,0.769367516040802,294
CHEMBL8572,0,0.769367516040802,295
CHEMBL14573,0,0.769367516040802,296
CHEMBL3347290,0,0.769367516040802,297
CHEMBL33360,0,0.769367516040802,298
CHEMBL33313,0,0.769367516040802,299
CHEMBL30706,0,0.769367516040802,300
CHEMBL4543173,0,0.769367516040802,301
CHEMBL4435826,0,0.769367516040802,302
CHEMBL30642,0,0.769367516040802,303
CHEMBL4435418,0,0.769367516040802,304
CHEMBL32903,0,0.769367516040802,305
CHEMBL32296,0,0.769367516040802,306
CHEMBL32670,0,0.769367516040802,307
CHEMBL31559,0,0.769367516040802,308
CHEMBL31370,0,0.769367516040802,309
CHEMBL19933,0,0.769367516040802,310
CHEMBL41948,0,0.769367516040802,311
CHEMBL41908,0,0.769367516040802,312
CHEMBL35415,0,0.769367516040802,313
CHEMBL12967,0,0.769367516040802,314
CHEMBL12994,1,0.769367516040802,315
CHEMBL9000,0,0.769367516040802,316
CHEMBL43833,0,0.769367516040802,317
CHEMBL42228,0,0.769367516040802,318
CHEMBL4303803,0,0.769367516040802,319
CHEMBL34794,0,0.769367516040802,320
CHEMBL30346,0,0.769367516040802,321
CHEMBL30013,0,0.769367516040802,322
CHEMBL20982,0,0.769367516040802,323
CHEMBL37388,0,0.769367516040802,324
CHEMBL37419,0,0.769367516040802,325
CHEMBL37453,0,0.769367516040802,326
CHEMBL36613,0,0.769367516040802,327
CHEMBL36797,0,0.769367516040802,328
CHEMBL37074,0,0.769367516040802,329
CHEMBL27482,0,0.769367516040802,330
CHEMBL27344,0,0.769367516040802,331
CHEMBL36565,0,0.769367516040802,332
CHEMBL14738,0,0.769367516040802,333
CHEMBL41880,0,0.769367516040802,334
CHEMBL21802,0,0.769367516040802,335
CHEMBL14735,0,0.769367516040802,336
CHEMBL29038,0,0.769367516040802,337
CHEMBL8376,0,0.769367516040802,338
CHEMBL30469,0,0.769367516040802,339
CHEMBL16601,0,0.769367516040802,340
CHEMBL20318,0,0.769367516040802,341
CHEMBL20431,0,0.769367516040802,342
CHEMBL20655,0,0.769367516040802,343
CHEMBL20813,0,0.769367516040802,344
CHEMBL20731,0,0.769367516040802,345
CHEMBL21356,0,0.769367516040802,346
CHEMBL41401,0,0.769367516040802,347
CHEMBL41180,0,0.769367516040802,348
CHEMBL41284,0,0.769367516040802,349
CHEMBL1163443,0,0.769367516040802,350
CHEMBL25901,0,0.769367516040802,351
CHEMBL37119,0,0.769367516040802,352
CHEMBL25983,0,0.769367516040802,353
CHEMBL37180,0,0.769367516040802,354
CHEMBL26623,0,0.769367516040802,355
CHEMBL7708,0,0.769367516040802,356
CHEMBL39257,0,0.769367516040802,357
CHEMBL39639,0,0.769367516040802,358
CHEMBL16137,0,0.769367516040802,359
CHEMBL24282,0,0.769367516040802,360
CHEMBL23734,0,0.769367516040802,361
CHEMBL38871,0,0.769367516040802,362
CHEMBL38419,0,0.769367516040802,363
CHEMBL40711,0,0.769367516040802,364
CHEMBL40707,0,0.769367516040802,365
CHEMBL26444,0,0.769367516040802,366
CHEMBL39772,0,0.769367516040802,367
CHEMBL23658,0,0.769367516040802,368
CHEMBL11886,0,0.769367516040802,369
