ligand_id,is_known_active,enopt_decoy_score,enopt_decoy_rank,molecule_chembl_id,best_pchembl,n_measurements,n_strong,types,documented_strong
CHEMBL4434961,0,0.259309,13197,,,0,0,,False
CHEMBL17180,0,0.19424039,16004,,,0,0,,False
CHEMBL34924,0,0.7772086,941,,,0,0,,False
CHEMBL13758,0,0.16067226,17670,,,0,0,,False
CHEMBL33172,0,0.68168765,2631,,,0,0,,False
CHEMBL28182,0,0.034468826,26776,,,0,0,,False
CHEMBL20088,0,0.062601596,24668,,,0,0,,False
CHEMBL19193,0,0.58306766,4575,,,0,0,,False
CHEMBL38512,0,0.07267084,23851,,,0,0,,False
CHEMBL1163548,0,0.052096732,25236,,,0,0,,False
CHEMBL36567,0,0.34882003,10358,,,0,0,,False
CHEMBL38864,0,0.0845559,22920,,,0,0,,False
CHEMBL43656,0,0.5518279,5648,,,0,0,,False
CHEMBL6843,0,0.2645967,12931,,,0,0,,False
CHEMBL4435755,0,0.118774354,20485,,,0,0,,False
CHEMBL27443,0,0.13842352,19106,,,0,0,,False
CHEMBL23712,0,0.15277958,18257,,,0,0,,False
CHEMBL27115,0,0.25494197,13399,,,0,0,,False
CHEMBL12361,0,0.27237433,12505,,,0,0,,False
CHEMBL16491,0,0.6714921,2766,,,0,0,,False
CHEMBL14621,0,0.19389421,16064,,,0,0,,False
CHEMBL23847,0,0.22467038,14458,,,0,0,,False
CHEMBL21228,0,0.34190798,10739,,,0,0,,False
CHEMBL12774,0,0.08466891,22787,,,0,0,,False
CHEMBL15689,0,0.46559715,7536,,,0,0,,False
CHEMBL9318,0,0.6439383,3207,,,0,0,,False
CHEMBL17146,0,0.58306766,4587,,,0,0,,False
CHEMBL38428,0,0.39627057,9333,,,0,0,,False
CHEMBL28825,0,0.28497228,12253,,,0,0,,False
CHEMBL37584,0,0.16067226,17655,,,0,0,,False
CHEMBL7030,0,0.013666068,28738,,,0,0,,False
CHEMBL4436439,0,0.050607722,25350,,,0,0,,False
CHEMBL16763,0,0.1719676,16901,,,0,0,,False
CHEMBL25393,0,0.15421484,18069,,,0,0,,False
CHEMBL19696,0,0.2626148,13022,,,0,0,,False
CHEMBL23734,0,0.5529501,5486,,,0,0,,False
CHEMBL23392,0,0.46559715,7521,,,0,0,,False
CHEMBL14427,0,0.19697869,15853,,,0,0,,False
CHEMBL12294,0,0.2688745,12766,,,0,0,,False
CHEMBL12919,0,0.023704728,27602,,,0,0,,False
CHEMBL23555,0,0.0862678,22597,,,0,0,,False
CHEMBL13681,0,0.6323024,3390,,,0,0,,False
CHEMBL26416,0,0.43925706,8160,,,0,0,,False
CHEMBL18930,0,0.34451917,10513,,,0,0,,False
CHEMBL23477,0,0.020403916,27932,,,0,0,,False
